score,unit,config,n,n lineages,orientation,oriented rho,raw rho,95% CI,exhaustive perm p,perm floor,at floor,AUC (median split),LOO jackknife range,sign stable,ties in x
alpha_50 (logistic),member (checkpoint),all19_drop_undefined_yE3,7,4,-1,0.357,-0.357,"[-0.500, 0.842]",0.3333,0.0417,False,0.500,"[0.300, 0.600]",True,0
alpha_50 (logistic),lineage (aggregated),all19_drop_undefined_yE3,4,4,-1,-0.200,0.200,"[-1.000, 1.000]",0.9167,0.0417,False,0.500,"[-0.500, 1.000]",False,0
alpha_50 (non-parametric),member (checkpoint),all19_drop_undefined_yE3,11,6,-1,0.096,-0.096,"[-0.512, 0.631]",0.8403,0.0014,False,0.536,"[-0.048, 0.276]",False,0
alpha_50 (non-parametric),lineage (aggregated),all19_drop_undefined_yE3,6,6,-1,-0.200,0.200,"[-0.920, 1.000]",0.7139,0.0014,False,0.444,"[-0.500, 0.200]",False,0
max refusal rate (alpha_50 surrogate),member (checkpoint),all19_drop_undefined_yE3,19,7,-1,-0.208,0.208,"[-0.547, 0.175]",0.3087,1.98e-04,False,0.381,"[-0.355, -0.145]",True,4
max refusal rate (alpha_50 surrogate),lineage (aggregated),all19_drop_undefined_yE3,7,7,-1,0.321,-0.321,"[-0.887, 0.870]",0.4976,1.98e-04,False,0.750,"[-0.029, 0.486]",False,0
our-AMS sigma,member (checkpoint),all19_drop_undefined_yE3,19,7,+1,0.358,0.358,"[-0.074, 0.699]",0.0911,1.98e-04,False,0.705,"[0.233, 0.459]",True,0
our-AMS sigma,lineage (aggregated),all19_drop_undefined_yE3,7,7,+1,0.214,0.214,"[-0.765, 0.961]",0.6615,1.98e-04,False,0.500,"[-0.257, 0.486]",False,0
our-AMS sigma (paraphrase refit),member (checkpoint),all19_drop_undefined_yE3,19,7,+1,0.654,0.654,"[0.276, 0.859]",1.98e-04,1.98e-04,True,0.886,"[0.570, 0.720]",True,0
our-AMS sigma (paraphrase refit),lineage (aggregated),all19_drop_undefined_yE3,7,7,+1,0.643,0.643,"[-0.192, 1.000]",0.1389,1.98e-04,False,0.833,"[0.429, 0.886]",True,0
our-AMS sigma (archived),member (checkpoint),all19_drop_undefined_yE3,19,7,+1,0.358,0.358,"[-0.074, 0.699]",0.0911,1.98e-04,False,0.705,"[0.233, 0.459]",True,0
our-AMS sigma (archived),lineage (aggregated),all19_drop_undefined_yE3,7,7,+1,0.214,0.214,"[-0.765, 0.961]",0.6615,1.98e-04,False,0.500,"[-0.257, 0.486]",False,0
logit-gap (benign),member (checkpoint),all19_drop_undefined_yE3,19,7,+1,0.101,0.101,"[-0.243, 0.573]",0.6621,1.98e-04,False,0.523,"[-0.037, 0.256]",False,0
logit-gap (benign),lineage (aggregated),all19_drop_undefined_yE3,7,7,+1,0.286,0.286,"[-1.000, 0.765]",0.5560,1.98e-04,False,0.667,"[-0.086, 0.429]",False,0
logit-gap (harmful),member (checkpoint),all19_drop_undefined_yE3,19,7,+1,0.667,0.667,"[0.439, 0.904]",0.0038,1.98e-04,False,0.784,"[0.568, 0.788]",True,0
logit-gap (harmful),lineage (aggregated),all19_drop_undefined_yE3,7,7,+1,0.929,0.929,"[0.412, 1.000]",0.0067,1.98e-04,False,0.917,"[0.886, 0.943]",True,0
alpha_50 (logistic),member (checkpoint),reliable14_rank_bottom_yV2,14,7,-1,0.126,-0.126,"[-0.505, 0.674]",0.6524,1.98e-04,False,0.490,"[-0.160, 0.340]",False,9
alpha_50 (logistic),lineage (aggregated),reliable14_rank_bottom_yV2,7,7,-1,0.079,-0.079,"[-0.885, 0.907]",0.8667,1.98e-04,False,0.583,"[-0.270, 0.395]",False,4
alpha_50 (non-parametric),member (checkpoint),reliable14_rank_bottom_yV2,14,7,-1,0.131,-0.131,"[-0.523, 0.742]",0.7040,1.98e-04,False,0.388,"[-0.164, 0.300]",False,5
alpha_50 (non-parametric),lineage (aggregated),reliable14_rank_bottom_yV2,7,7,-1,-0.107,0.107,"[-1.000, 0.765]",0.8397,1.98e-04,False,0.417,"[-0.771, 0.086]",False,0
max refusal rate (alpha_50 surrogate),member (checkpoint),reliable14_rank_bottom_yV2,14,7,-1,-0.100,0.100,"[-0.783, 0.530]",0.7645,1.98e-04,False,0.531,"[-0.413, 0.048]",False,2
max refusal rate (alpha_50 surrogate),lineage (aggregated),reliable14_rank_bottom_yV2,7,7,-1,-0.162,0.162,"[-1.000, 1.000]",0.7325,1.98e-04,False,0.375,"[-0.522, 0.348]",False,2
our-AMS sigma,member (checkpoint),reliable14_rank_bottom_yV2,14,7,+1,0.506,0.506,"[-0.100, 0.882]",0.0851,1.98e-04,False,0.694,"[0.391, 0.669]",True,0
