claim_id,section,subsection,surface,statistic_type,token_form,token,parsed_value,decimals_quoted,aggregation_unit,source_alias,source_artifact_id,json_pointer,generated_value,abs_delta,tolerance_rule,flag,flag_reason,resolution_confidence,external_literature,derived_now_generated,source_sha256,sentence
C0000,Abstract,,abstract,interval,count,19,19.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/archived_19_only_Delta_A/member_level/n,19.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0001,Abstract,,abstract,interval,count,7,7.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/archived_19_only_Delta_A/lineage_aggregated/n,7.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0002,Abstract,,abstract,interval,count,52,52.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/score_columns/orig_sigma/member_level/n,52.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0003,Abstract,,abstract,interval,count,28,28.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/score_columns/orig_sigma/lineage_aggregated/n,28.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0004,Abstract,,abstract,interval,count,11,11.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/per_member_table/23/judged_refusal_k,11.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0005,Abstract,,abstract,interval,real,+0.296,0.296,3,lineage,E1,art_CZaytBH8uL4_,/metadata/prereg/archived_reference_values/delta_19_members,0.296,0.0,|delta| <= 0.5e-3 is ROUNDING_OK,MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0006,Abstract,,abstract,interval,real,+0.099,0.099,3,lineage,E1,art_CZaytBH8uL4_,/metadata/results/outcome_statistics/a_Delta_A/member_level/delta,0.09902176988532507,2.1769885325068072e-05,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0007,Abstract,,abstract,interval,real,-0.152,-0.152,3,lineage,E1,art_CZaytBH8uL4_,/metadata/results/outcome_statistics/d_Delta_B/member_level/delta,-0.15207830060041289,7.830060041288944e-05,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0008,Abstract,,abstract,interval,count,19,19.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/archived_19_only_Delta_A/member_level/n,19.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0009,Abstract,,abstract,interval,real,+0.2963,0.2963,4,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/archived_19_only_Delta_A/member_level/delta,0.2962644517928017,3.554820719831042e-05,|delta| <= 0.5e-4 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
